     read       raw corrected
       id    length    length
--------- --------- ---------
        1      6164      5987
        2      1578      1524
        3     15206     14598
        4     26774     26838
        5     14669     13211
        6      5574      5317
        7     23918     22377
        8      5634      5062
        9     13838     13275
       10     10671      9688
       11     20956     20177
       12     14732     14090
       13      2663      2604
       14      2629      2603
       15      2818      2612
       16      2759      2694
       17      2956      2627
       18     14178     13744
       19      2125      2007
       20      2054      2007
       21      4170      4042
       22      3504      3291
       23     12519     12783
       24      6875      6289
       25     22503     20714
       26     20679     20930
       27     20160     19462
       28      3413      3283
       29     11359     10810
       30     15708     14547
       31      7315      7091
       32      2682      2812
       33      7588      7354
       34     25976     24520
       35      5564      4909
       36      4562      4433
       37      5177      4954
       38     18450     17960
       39     19557     18505
       40      2349      2245
       41      2748      2661
       42      1776      1776
       43     20315     19414
       44      2030      2030
       45     18630     18342
       46      7633      7442
       47      2589      2589
       48      1985      1883
       49      4048      3587
       50      4664      4375
       51     15149     13527
       52      3074      2807
       53      7623      7771
       54      1827      1722
       55     14091     13086
       56      7691      7470
       57     14346     13466
       58     11470     10853
       59      9142      8964
       60     17165     16018
       61      8334      7895
       62     21829     21829
       63      2652      2504
       64      6841      6586
       65      4729      4729
       66     19965     19095
       67      1581      1415
       68      1594      1289
       69      1510      1408
       70      1595      1414
       71      1452      1436
       72      1543      1447
       73      1448      1419
       74     30222     30222
       75     10455     10136
       76      3888      3853
       77     13014     11998
       78      4307      4307
       79      9379      9171
       80     12411     12159
       81     18034     17667
       82      1536      1530
       83      4037      3891
       84     14002     13360
       85      9586      9124
       86     19024     18697
       87     20028     19328
       88      5401      5073
       89      3777      3755
       90     10738     10738
       91     10655      9982
       92     11513     11081
       93      2029      1922
       94      1945      1888
       95      2052      1912
       96      1971      1898
       97     13075     12346
       98      2661      2842
       99      6328      6171
      100     18731     18114
      101      7217      6855
      102     20540     20056
      103      6002      5600
      104      1647      1564
      105      2894      2623
      106     14261     12476
      107      4036      3486
      108      5562      5562
      109     17166     16357
      110      3054      2864
      111      3134      2872
      112     16182     16249
      113     10721     10187
      114      8691      8411
      115      3483      3518
      116      2507      2450
      117      4613      4328
      118      9145      8117
      119     11901     10471
      120     15151     14790
      121      5702      5391
      122     20164     18925
      123      8861      8189
      124     14905     14534
      125     15151     14715
      126     33958     31284
      127     19359     19359
      128     10401      9262
      129     13626     12948
      130     17041     16398
      131     21944     21166
      132      8948      8713
      133      3732      3302
      134      4084      3653
      135     15024     15139
      136      1445      1370
      137      3133      2735
      138      3045      3049
      139      4926      4404
      140      7754      7498
      141      3350      3366
      142      1405      1405
      143     16145     14676
      144      1894      1697
      145     17738     17162
      146     23190     22074
      147      3329      3093
      148      8093      7678
      149     10042      9370
      150      2153      2086
      151      5880      5197
      152     18062     16390
      153      3558      3133
      154     22280     22657
      155      5654      5856
      156      2318      2059
      157     16285     16565
      158     28265     27459
      159      5450      4903
      160      7676      7432
      161     14783     13929
      162      3222      3033
      163      1099       964
      164      2960      2941
      165      9605      8564
      166     15330     14648
      167      8196      7363
      168      3481      3218
      169     13505     12830
      170     12859     11679
      171      1782      1737
      172     10017      9757
      173      1454      1386
      174     15588     15179
      175     12713     10772
      176     11046     10143
      177     15020     15289
      178      2986      3084
      179      4754      4431
      180      4980      4765
      182      9258      9258
      183      1979      1780
      184      3845      3489
      185      2624      2562
      186      9609      9609
      187     18139     18716
      188     19804     18718
      189      2084      1934
      190     18624     19255
      191      2054      2026
      192      8060      7746
      193      3904      3764
      194      2618      2278
      195      2578      2529
      196      4168      3846
      197      5773      5303
      198      5074      4545
      199     12097     11326
      200     21116     19502
      201      1856      1813
      203     14860     14111
      204      2688      2688
      205      8099      7884
      206      6774      6322
      207      7263      7111
      208      1648      1498
      209     13631     12842
      210      3474      3418
      211     21348     20875
      212     20786     20957
      213      8658      8286
      214     11615     10984
      215     20933     19437
      216     11442     10387
      217     10451      7626
      218      9543      9327
      219      1249      1208
      220      6569      6056
      221      8115      8181
      222      6468      6108
      223      3380      3498
      224      2749      2397
      225     11829     11149
      226      6888      6628
      227     20454     20392
      228     10285      9821
      229      3888      3509
      230     20856     20378
      231     12739     12275
      232     23275     23275
      233      7759      7411
      234      9647      9323
      235      2182      1978
      236     15310     14126
      237     13414     12492
      238      1595      1595
      239     10199      9767
      240     15384     13788
      241     15068     14241
      243     10621      9659
      244      6226      6025
      245      6353      6254
      246      4958      4640
      247      6162      5797
      248      7734      7637
      249      9306      8771
      250      2942      2634
      251      2031      1964
      252      1960      1958
      253      9514      8651
      254     16617     15534
      255     17667     16635
      256      1777      1733
      257     29266     26940
      258     14278     13445
      259      7955      7727
      260     16031     15025
      261      1935      1860
      262      3600      3366
      263      7416      6324
      264     21294     20436
      265      3226      3137
      266      1726      1755
      267      1751      1752
      268     17794     16972
      269      1719      1695
      270      2801      2639
      271      9317      8678
      272     11213     10960
      273      5422      5150
      274     26783     25793
      275      2175      2059
      276      3399      3121
      277      3997      3846
      278      3807      3602
      279     12234     11395
      280     11961     11572
      281      3446      3330
      282      9562      8615
      283      4618      3778
      284      9312      9155
      285     24332     23092
      286      7690      7614
      287      1292      1241
      288     30483     29072
      289     19102     17560
      290      3267      3239
      291     11022     10461
      292     24135     22970
      293      1171      1114
      294      1875      1815
      295      1794      1799
      296      4299      4171
      297     19061     18505
      298      2886      2836
      299      4260      4135
      300     20720     20650
      301     21052     22697
      302      7958      7391
      303      3370      3590
      304      3350      3558
      305      5079      4772
      307     24132     22091
      308      3210      3082
      309      3218      3076
      310     20339     18778
      311     20151     19382
