id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
1	0	5987	18	5987	MOD	skipped 0 overlaps; used 27 overlaps
2	0	1524	44	1515	MOD	skipped 0 overlaps; used 15 overlaps
3	0	14598	2270	14598	MOD	skipped 0 overlaps; used 156 overlaps
4	0	26838	257	26760	MOD	skipped 0 overlaps; used 75 overlaps
5	0	13211	45	13201	MOD	skipped 0 overlaps; used 45 overlaps
6	0	5317	17	5317	MOD	skipped 0 overlaps; used 29 overlaps
7	0	22377	218	22374	MOD	skipped 0 overlaps; used 62 overlaps
8	0	5062	233	5060	MOD	skipped 0 overlaps; used 116 overlaps
9	0	13275	279	13262	MOD	skipped 0 overlaps; used 34 overlaps
10	0	9688	56	9688	MOD	skipped 0 overlaps; used 33 overlaps
11	0	20177	323	20176	MOD	skipped 0 overlaps; used 53 overlaps
12	0	14090	124	14074	MOD	skipped 0 overlaps; used 45 overlaps
13	0	2604	24	2598	MOD	skipped 0 overlaps; used 17 overlaps
14	0	2603	0	2546	MOD	skipped 0 overlaps; used 17 overlaps
15	0	2612	19	2549	MOD	skipped 0 overlaps; used 17 overlaps
16	0	2694	9	2443	MOD	skipped 0 overlaps; used 17 overlaps
17	0	2627	1444	2621	MOD	skipped 0 overlaps; used 17 overlaps
18	0	13744	21	13462	MOD	skipped 0 overlaps; used 43 overlaps
19	0	2007	0	2006	MOD	skipped 0 overlaps; used 16 overlaps
20	0	2007	0	2006	MOD	skipped 0 overlaps; used 16 overlaps
21	0	4042	6	2003	MOD	skipped 0 overlaps; used 30 overlaps
22	0	3291	0	3221	MOD	skipped 0 overlaps; used 31 overlaps
23	0	12783	31	12782	MOD	skipped 0 overlaps; used 27 overlaps
24	0	6289	18	6280	MOD	skipped 0 overlaps; used 20 overlaps
25	0	20714	128	20709	MOD	skipped 0 overlaps; used 47 overlaps
26	0	20930	183	20915	MOD	skipped 0 overlaps; used 64 overlaps
27	0	19462	259	19446	MOD	skipped 0 overlaps; used 47 overlaps
28	0	3283	17	3282	MOD	skipped 0 overlaps; used 17 overlaps
29	0	10810	12	10803	MOD	skipped 0 overlaps; used 29 overlaps
30	0	14547	70	14531	MOD	skipped 0 overlaps; used 117 overlaps
31	0	7091	186	7090	MOD	skipped 0 overlaps; used 31 overlaps
32	0	2812	5	2784	MOD	skipped 0 overlaps; used 25 overlaps
33	0	7354	1203	7264	MOD	skipped 0 overlaps; used 27 overlaps
34	0	24520	259	24512	MOD	skipped 0 overlaps; used 72 overlaps
35	0	4909	3	4852	MOD	skipped 0 overlaps; used 29 overlaps
36	0	4433	154	4426	MOD	skipped 0 overlaps; used 19 overlaps
37	0	4954	0	4953	MOD	skipped 0 overlaps; used 22 overlaps
38	0	17960	91	17958	MOD	skipped 0 overlaps; used 141 overlaps
39	0	18505	242	18504	MOD	skipped 0 overlaps; used 39 overlaps
40	0	2245	12	2219	MOD	skipped 0 overlaps; used 19 overlaps
41	0	2661	4	2648	MOD	skipped 0 overlaps; used 24 overlaps
42	0	1776	0	1776	NOV
43	0	19414	455	19414	MOD	skipped 0 overlaps; used 42 overlaps
44	0	2030	0	2030	NOV
45	0	18342	34	8831	MOD	skipped 0 overlaps; used 44 overlaps
46	0	7442	460	7421	MOD	skipped 0 overlaps; used 34 overlaps
47	0	2589	0	2589	NOV
48	0	1883	515	1782	MOD	skipped 0 overlaps; used 14 overlaps
49	0	3587	640	3585	MOD	skipped 0 overlaps; used 18 overlaps
50	0	4375	331	4343	MOD	skipped 0 overlaps; used 21 overlaps
51	0	13527	0	13527	NOC	skipped 0 overlaps; used 28 overlaps
52	0	2807	93	2524	MOD	skipped 0 overlaps; used 23 overlaps
53	0	7771	14	7478	MOD	skipped 0 overlaps; used 21 overlaps
54	0	1722	277	1718	MOD	skipped 0 overlaps; used 17 overlaps
55	0	13086	11	13039	MOD	skipped 0 overlaps; used 213 overlaps
56	0	7470	131	7236	MOD	skipped 0 overlaps; used 21 overlaps
